pattern	form	form_alt	len_prefix	sent
anaphora	her	it	14	Susan is such a complicated person , I do not even try to understand her . <eos>
anaphora	her	it	10	Susan is such a complicated person , I cannot understand her . <eos>
anaphora	her	it	10	Susan has a complex personality . Stop trying to understand her ! <eos>
anaphora	her	it	14	She has such a complex personality , I do not even try to understand her . <eos>
anaphora	her	it	10	She has such a complex personality , I cannot understand her . <eos>
anaphora	it	her	11	She has such a complex personality . Stop trying to understand it ! <eos>
anaphora	her	it	14	She is such a complicated person , I do not even try to understand her . <eos>
anaphora	her	it	10	She is such a complicated person , I cannot understand her . <eos>
anaphora	her	it	10	She has a complex personality . Stop trying to understand her ! <eos>
semantics	her	his	5	I have a daughter and her name is Maria . <eos>
semantics	her	its	5	I have a daughter and her name is Maria . <eos>
semantics	their	her	8	I have two daughters and a son : their names are Maria and Jane , and his name is Jim . <eos>
semantics	their	his	8	I have two daughters and a son : their names are Maria and Jane , and his name is Jim . <eos>
semantics	his	her	16	I have two daughters and a son : their names are Maria and Jane , and his name is Jim . <eos>
semantics	his	its	16	I have two daughters and a son : their names are Maria and Jane , and his name is Jim . <eos>
semantics	their	her	15	I have two daughters and a son : their names are Maria , Jane and Jim . <eos>
semantics	their	his	15	I have two daughters and a son : their names are Maria , Jane and Jim . <eos>
semantics	Jim	Susan	15	I have two daughters and a son : their names are Maria , Jane and Jim . <eos>
semantics	Jim	Sarah	15	I have two daughters and a son : their names are Maria , Jane and Jim . <eos>
semantics	Jim	Maria	15	I have two daughters and a son : their names are Maria , Jane and Jim . <eos>
semantics	Jane	Jim	15	I have two daughters and a son : their names are Tom , Maria and Jane . <eos>
semantics	Jane	Tom	7	I have two daughters : Maria and Jane . <eos>
generic_antecedent	they	she	6	All people get hungry , so they eat . <eos>
generic_antecedent	they	she	6	All people get hungry , so they eats . <eos>
valency	makes	make	3	Winning the prize makes our training worthwhile . <eos>
tense	makes	made	3	Winning the prize makes our training worthwhile . <eos>
valency	does	do	4	That they come late does not surprise us . <eos>
valency	surprises	surprise	4	That they come late surprises us . <eos>
tense	contribute	contributes	4	Sam persuaded us to contribute to the cause . <eos>
valency	upsets	upset	6	That she would veto this bill upsets us . <eos>
